RAIL_OPR_ISTT_CD	RAIL_OPR_ISTT_NM	LN_CD	LN_NM	STIN_CD	STIN_NM
S5	서울교통공사(구서울도시철도)	6	6호선	622	합정
S5	서울교통공사(구서울도시철도)	6	6호선	623	상수
S5	서울교통공사(구서울도시철도)	6	6호선	624	광흥창(서강)
S5	서울교통공사(구서울도시철도)	6	6호선	625	대흥(서강대앞)
S5	서울교통공사(구서울도시철도)	6	6호선	626	공덕
S5	서울교통공사(구서울도시철도)	6	6호선	627	효창공원앞
S5	서울교통공사(구서울도시철도)	6	6호선	628	삼각지
S5	서울교통공사(구서울도시철도)	6	6호선	629	녹사평(용산구청)
S5	서울교통공사(구서울도시철도)	6	6호선	630	이태원
S5	서울교통공사(구서울도시철도)	6	6호선	631	한강진
S5	서울교통공사(구서울도시철도)	6	6호선	632	버티고개
S5	서울교통공사(구서울도시철도)	6	6호선	633	약수
S5	서울교통공사(구서울도시철도)	6	6호선	634	청구
S5	서울교통공사(구서울도시철도)	6	6호선	635	신당
S5	서울교통공사(구서울도시철도)	6	6호선	636	동묘앞
S5	서울교통공사(구서울도시철도)	6	6호선	637	창신
S5	서울교통공사(구서울도시철도)	6	6호선	638	보문
S5	서울교통공사(구서울도시철도)	6	6호선	639	안암(고대병원앞)
S5	서울교통공사(구서울도시철도)	6	6호선	640	고려대(종암)
S5	서울교통공사(구서울도시철도)	6	6호선	641	월곡(동덕여대)
S5	서울교통공사(구서울도시철도)	6	6호선	642	상월곡(한국과학기술연구원)
S5	서울교통공사(구서울도시철도)	6	6호선	643	돌곶이
S5	서울교통공사(구서울도시철도)	6	6호선	644	석계
S5	서울교통공사(구서울도시철도)	6	6호선	645	태릉입구
S5	서울교통공사(구서울도시철도)	6	6호선	646	화랑대(서울여대입구)
S5	서울교통공사(구서울도시철도)	6	6호선	647	봉화산(서울의료원)
S5	서울교통공사(구서울도시철도)	6	6호선	648	신내
S5	서울교통공사(구서울도시철도)	7	7호선	709	장암
S5	서울교통공사(구서울도시철도)	7	7호선	710	도봉산
S5	서울교통공사(구서울도시철도)	7	7호선	711	수락산
S5	서울교통공사(구서울도시철도)	7	7호선	712	마들
S5	서울교통공사(구서울도시철도)	7	7호선	713	노원
S5	서울교통공사(구서울도시철도)	7	7호선	714	중계
S5	서울교통공사(구서울도시철도)	7	7호선	715	하계
S5	서울교통공사(구서울도시철도)	7	7호선	716	공릉(서울과학기술대)
S5	서울교통공사(구서울도시철도)	7	7호선	717	태릉입구
S5	서울교통공사(구서울도시철도)	7	7호선	718	먹골
S5	서울교통공사(구서울도시철도)	7	7호선	719	중화
S5	서울교통공사(구서울도시철도)	7	7호선	720	상봉(시외버스터미널)
S5	서울교통공사(구서울도시철도)	7	7호선	721	면목
S5	서울교통공사(구서울도시철도)	7	7호선	722	사가정
S5	서울교통공사(구서울도시철도)	7	7호선	723	용마산
S5	서울교통공사(구서울도시철도)	7	7호선	724	중곡
S5	서울교통공사(구서울도시철도)	7	7호선	725	군자(능동)
S5	서울교통공사(구서울도시철도)	7	7호선	726	어린이대공원(세종대)
S5	서울교통공사(구서울도시철도)	7	7호선	727	건대입구
S5	서울교통공사(구서울도시철도)	7	7호선	728	뚝섬유원지
S5	서울교통공사(구서울도시철도)	7	7호선	729	청담
S5	서울교통공사(구서울도시철도)	7	7호선	730	강남구청
S5	서울교통공사(구서울도시철도)	7	7호선	731	학동
S5	서울교통공사(구서울도시철도)	7	7호선	732	논현
S5	서울교통공사(구서울도시철도)	7	7호선	733	반포
S5	서울교통공사(구서울도시철도)	7	7호선	734	고속터미널
S5	서울교통공사(구서울도시철도)	7	7호선	735	내방
S5	서울교통공사(구서울도시철도)	7	7호선	736	총신대입구(이수)
S5	서울교통공사(구서울도시철도)	7	7호선	737	남성
S5	서울교통공사(구서울도시철도)	7	7호선	738	숭실대입구(살피재)
S5	서울교통공사(구서울도시철도)	7	7호선	739	상도
S5	서울교통공사(구서울도시철도)	7	7호선	740	장승배기
S5	서울교통공사(구서울도시철도)	7	7호선	741	신대방삼거리
S5	서울교통공사(구서울도시철도)	7	7호선	742	보라매
S5	서울교통공사(구서울도시철도)	7	7호선	743	신풍
S5	서울교통공사(구서울도시철도)	7	7호선	744	대림(구로구청)
S5	서울교통공사(구서울도시철도)	7	7호선	745	남구로
S5	서울교통공사(구서울도시철도)	7	7호선	746	가산디지털단지
S5	서울교통공사(구서울도시철도)	7	7호선	747	철산
S5	서울교통공사(구서울도시철도)	7	7호선	748	광명사거리
S5	서울교통공사(구서울도시철도)	7	7호선	749	천왕
S5	서울교통공사(구서울도시철도)	7	7호선	750	온수(성공회대입구)
S5	서울교통공사(구서울도시철도)	7	7호선	751	까치울
S5	서울교통공사(구서울도시철도)	7	7호선	752	부천종합운동장
S5	서울교통공사(구서울도시철도)	7	7호선	753	춘의
S5	서울교통공사(구서울도시철도)	7	7호선	754	신중동
S5	서울교통공사(구서울도시철도)	7	7호선	755	부천시청
S5	서울교통공사(구서울도시철도)	7	7호선	756	상동
S5	서울교통공사(구서울도시철도)	7	7호선	757	삼산체육관
S5	서울교통공사(구서울도시철도)	7	7호선	758	굴포천
S5	서울교통공사(구서울도시철도)	7	7호선	759	부평구청
S5	서울교통공사(구서울도시철도)	8	8호선	810	암사
S5	서울교통공사(구서울도시철도)	8	8호선	811	천호(풍납토성)
S5	서울교통공사(구서울도시철도)	8	8호선	812	강동구청
S5	서울교통공사(구서울도시철도)	8	8호선	813	몽촌토성(평화의문)
S5	서울교통공사(구서울도시철도)	8	8호선	814	잠실(송파구청)
S5	서울교통공사(구서울도시철도)	8	8호선	815	석촌
S5	서울교통공사(구서울도시철도)	8	8호선	816	송파
S5	서울교통공사(구서울도시철도)	8	8호선	817	가락시장
S5	서울교통공사(구서울도시철도)	8	8호선	818	문정
S5	서울교통공사(구서울도시철도)	8	8호선	819	장지
S5	서울교통공사(구서울도시철도)	8	8호선	820	복정
S5	서울교통공사(구서울도시철도)	8	8호선	821	산성
S5	서울교통공사(구서울도시철도)	8	8호선	822	남한산성입구(성남법원·검찰청)
S5	서울교통공사(구서울도시철도)	8	8호선	823	단대오거리
S5	서울교통공사(구서울도시철도)	8	8호선	824	신흥
S5	서울교통공사(구서울도시철도)	8	8호선	825	수진
S5	서울교통공사(구서울도시철도)	8	8호선	826	모란
S9	서울메트로9	9	9호선	901	개화
S9	서울메트로9	9	9호선	902	김포공항
S9	서울메트로9	9	9호선	903	공항시장
S9	서울메트로9	9	9호선	904	신방화
S9	서울메트로9	9	9호선	905	마곡나루
S9	서울메트로9	9	9호선	906	양천향교
S9	서울메트로9	9	9호선	907	가양
S9	서울메트로9	9	9호선	908	증미
S9	서울메트로9	9	9호선	909	등촌
S9	서울메트로9	9	9호선	910	염창
S9	서울메트로9	9	9호선	911	신목동
S9	서울메트로9	9	9호선	912	선유도
S9	서울메트로9	9	9호선	913	당산
S9	서울메트로9	9	9호선	914	국회의사당
S9	서울메트로9	9	9호선	915	여의도
S9	서울메트로9	9	9호선	916	샛강
S9	서울메트로9	9	9호선	917	노량진
S9	서울메트로9	9	9호선	918	노들
S9	서울메트로9	9	9호선	919	흑석(중앙대입구)
S9	서울메트로9	9	9호선	920	동작(현충원)
S9	서울메트로9	9	9호선	921	구반포
S9	서울메트로9	9	9호선	922	신반포
S9	서울메트로9	9	9호선	923	고속터미널
S9	서울메트로9	9	9호선	924	사평
S9	서울메트로9	9	9호선	925	신논현
S9	서울메트로9	9	9호선	926	언주
S9	서울메트로9	9	9호선	927	선정릉
S9	서울메트로9	9	9호선	928	삼성중앙
S9	서울메트로9	9	9호선	929	봉은사
S9	서울메트로9	9	9호선	930	종합운동장
S9	서울메트로9	9	9호선	931	삼전
S9	서울메트로9	9	9호선	932	석촌고분
S9	서울메트로9	9	9호선	933	석촌
S9	서울메트로9	9	9호선	934	송파나루
S9	서울메트로9	9	9호선	935	한성백제
S9	서울메트로9	9	9호선	936	올림픽공원(한국체대)
S9	서울메트로9	9	9호선	937	둔촌오륜
S9	서울메트로9	9	9호선	938	중앙보훈병원
SW	소사원시운영	WS	서해선	S17	소새울
SW	소사원시운영	WS	서해선	S17	소사
SW	소사원시운영	WS	서해선	S18	시흥대야
SW	소사원시운영	WS	서해선	S19	신천
SW	소사원시운영	WS	서해선	S20	신현
SW	소사원시운영	WS	서해선	S22	시흥시청
SW	소사원시운영	WS	서해선	S23	시흥능곡
SW	소사원시운영	WS	서해선	S24	달미
SW	소사원시운영	WS	서해선	S25	선부
SW	소사원시운영	WS	서해선	S26	초지
SW	소사원시운영	WS	서해선	S27	원곡
SW	소사원시운영	WS	서해선	S28	원시
UI	우이신설경전철	UI	우이신설선	S110	북한산우이
UI	우이신설경전철	UI	우이신설선	S111	솔밭공원
UI	우이신설경전철	UI	우이신설선	S112	4.19민주묘지
UI	우이신설경전철	UI	우이신설선	S113	가오리
UI	우이신설경전철	UI	우이신설선	S114	화계
UI	우이신설경전철	UI	우이신설선	S115	삼양
UI	우이신설경전철	UI	우이신설선	S116	삼양사거리
UI	우이신설경전철	UI	우이신설선	S117	솔샘
UI	우이신설경전철	UI	우이신설선	S118	북한산보국문
UI	우이신설경전철	UI	우이신설선	S119	정릉
UI	우이신설경전철	UI	우이신설선	S120	성신여대입구
UI	우이신설경전철	UI	우이신설선	S121	보문
UI	우이신설경전철	UI	우이신설선	S122	신설동
UL	의정부경전철	U1	의정부경전철	U110	발곡
UL	의정부경전철	U1	의정부경전철	U111	회룡
UL	의정부경전철	U1	의정부경전철	U112	범골
UL	의정부경전철	U1	의정부경전철	U113	경전철의정부
UL	의정부경전철	U1	의정부경전철	U114	의정부시청
UL	의정부경전철	U1	의정부경전철	U115	흥선
UL	의정부경전철	U1	의정부경전철	U117	의정부중앙
UL	의정부경전철	U1	의정부경전철	U118	동오
UL	의정부경전철	U1	의정부경전철	U119	새말
UL	의정부경전철	U1	의정부경전철	U120	경기도청북부청사
UL	의정부경전철	U1	의정부경전철	U121	효자
UL	의정부경전철	U1	의정부경전철	U122	곤제
UL	의정부경전철	U1	의정부경전철	U123	어룡(용현산업단지)
UL	의정부경전철	U1	의정부경전철	U124	송산
UL	의정부경전철	U1	의정부경전철	U125	탑석
